version=2007022703
BN2T	BRITTEN NORMAN LTD. (A subsidiary of Pilatus Aircraft LTD.) (UK)	BN-2T Turbine Islander, Turbine Defender	2	T	S	1500	1500	II
TRID	BRITTEN NORMAN LTD. (A subsidiary of Pilatus Aircraft LTD.) (UK)	Trident	3	J	L	3000	3000	III
TRIS	BRITTEN NORMAN LTD. (A subsidiary of Pilatus Aircraft LTD.) (UK)	BN-2A Mk3 Trislander	3	P	S	1200	1000	III
VC10	BRITTEN NORMAN LTD. (A subsidiary of Pilatus Aircraft LTD.) (UK)	VC-10 	4	J	H	1900	2000	III
VISC	BRITTEN NORMAN LTD. (A subsidiary of Pilatus Aircraft LTD.) (UK)	Viscount	4	T	L	1200	1500	III
TNAV	CAMAIR AIRCRAFT CORP. (USA)	480 Twin Navion 480	2	P	S	1800	2000	II
CL41	CANADAIR BOMBARDIER LTD. (Canada)	CL-41 Tutor (CT-114)	1	J	S	0	0	III
CL44	CANADAIR BOMBARDIER LTD. (Canada)	CL-44 Forty Four	4	T	L	0	0	III
CL4G	CANADAIR BOMBARDIER LTD. (Canada)	CL-44-O Guppy	4	T	L	0	0	III
CVLT	CANADAIR BOMBARDIER LTD. (Canada)	CL-66, CV-580 (CC-109Cosmopolitan)	2	T	L	1500	1500	III
CL60	CANADAIR BOMBARDIER LTD. (Canada)	CL-600Challenger 699601604(CC-144, CE-144)	2	J	L	2250	3000	III
CRJ1	CANADAIR BOMBARDIER LTD. (Canada)	CL-600 Regional Jet CRJ-100, RJ-100 	2	J	L	0	0	III
CRJ2	CANADAIR BOMBARDIER LTD. (Canada)	CL-600, Regional Jet CRJ-200,RJ-200	2	J	L	0	0	III
CRJ7	CANADAIR BOMBARDIER LTD. (Canada)	CL-600 Regional Jet CRJ-700 	2	J	L	0	0	III
CRJ9	CANADAIR BOMBARDIER LTD. (Canada)	CL-600 Regional Jet CRJ-900 	2	J	L	0	0	III
T33	CANADAIR BOMBARDIER LTD. (Canada)	T-33, CT-133 Silver Star (CL-30) 	1	J	L	2000	2000	III
